,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
3506,f,Friedrichshain-Kreuzberg,52.48638,13.39678,Entire home/apt,4,3,2,55.0,5,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,2.0
3507,f,Charlottenburg-Wilm.,52.50268,13.30325,Entire home/apt,5,2,3,58.0,95,364,1,1,1,9,4.38,4.25,4.25,4.5,4.5,4.75,3.88,f,0.0,1.0
3508,f,Reinickendorf,52.59131,13.33265,Entire home/apt,4,2,4,67.0,60,1125,0,3,33,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3509,f,Charlottenburg-Wilm.,52.52474,13.28623,Entire home/apt,4,1,2,45.0,95,364,0,0,0,1,3.0,5.0,5.0,3.0,2.0,4.0,3.0,f,0.0,1.0
3510,f,Pankow,52.54894,13.41566,Entire home/apt,4,1,2,74.0,3,10,0,2,2,34,4.41,4.53,4.19,4.58,4.66,4.93,4.33,f,0.0,1.0
3511,f,Reinickendorf,52.64059,13.30285,Entire home/apt,4,2,2,100.0,6,1125,0,5,19,26,4.96,4.92,4.88,4.96,4.96,4.75,4.83,t,0.0,1.5
3512,t,Pankow,52.54302,13.42234,Entire home/apt,3,1,3,103.0,3,15,10,35,58,189,4.86,4.92,4.91,4.9,4.95,4.95,4.66,f,0.0,1.0
3513,t,Pankow,52.54434,13.42272,Entire home/apt,6,3,5,203.0,3,50,8,22,28,173,4.83,4.92,4.84,4.97,4.98,4.94,4.7,f,0.0,1.5
3514,f,Neukölln,52.47522,13.42265,Entire home/apt,2,1,1,120.0,3,16,0,0,0,9,4.89,4.89,4.78,5.0,5.0,4.78,4.89,f,0.0,1.0
3515,f,Neukölln,52.48295,13.42659,Private room,2,1,1,18.0,1,1125,0,0,0,2,4.0,5.0,4.0,5.0,4.0,5.0,0.0,f,0.0,1.0
3516,f,Neukölln,52.46839,13.43895,Entire home/apt,5,3,5,125.0,2,1125,0,0,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.5
3517,f,Neukölln,52.47037,13.43634,Private room,2,1,1,35.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3518,f,Charlottenburg-Wilm.,52.48738,13.32589,Entire home/apt,6,2,4,177.0,1,1125,19,49,79,183,4.71,4.81,4.76,4.92,4.86,4.68,4.64,f,0.0,1.5
3519,t,Mitte,52.53002166748047,13.404840469360352,Entire home/apt,2,1,1,117.0,1,60,5,25,54,25,4.36,4.52,4.56,4.56,4.56,4.8,4.16,t,0.0,1.0
3520,f,Mitte,52.53002166748047,13.404840469360352,Entire home/apt,4,2,2,117.0,1,60,17,38,65,27,4.44,4.41,4.67,4.44,4.74,4.89,4.22,t,0.0,1.0
3521,f,Mitte,52.53002166748047,13.404840469360352,Entire home/apt,5,2,3,206.0,1,60,21,39,64,35,4.53,4.71,4.56,4.59,4.59,4.79,4.44,t,0.0,1.0
3522,f,Neukölln,52.49394989013672,13.426309585571287,Entire home/apt,4,1,2,136.0,1,60,9,25,44,28,4.77,4.81,4.92,4.85,4.69,4.85,4.62,t,0.0,1.0
3524,f,Mitte,52.53684,13.40519,Private room,1,1,1,27.0,2,1125,0,0,0,1,4.0,5.0,3.0,4.0,5.0,5.0,4.0,f,0.0,1.0
3525,t,Friedrichshain-Kreuzberg,52.4959,13.44082,Entire home/apt,2,1,1,105.0,5,30,2,11,19,204,4.86,4.9,4.88,4.95,4.96,4.84,4.75,f,0.0,1.0
3526,f,Mitte,52.53558,13.39901,Private room,1,1,1,48.0,4,14,0,0,0,50,4.9,4.9,4.96,4.92,4.98,4.94,4.88,f,1.0,0.0
3527,f,Pankow,52.55724,13.42892,Private room,2,1,1,20.0,3,1125,0,0,0,5,4.8,4.8,4.6,4.8,4.8,4.2,4.6,f,0.0,2.0
3528,f,Pankow,52.54361,13.41575,Entire home/apt,5,4,5,130.0,3,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,2.0
3529,f,Mitte,52.52586,13.32816,Private room,2,1,1,25.0,1,1125,0,0,0,1,5.0,5.0,4.0,5.0,5.0,4.0,5.0,f,0.0,1.0
3530,f,Friedrichshain-Kreuzberg,52.5046,13.42713,Entire home/apt,1,1,1,29.0,3,1125,0,0,0,4,4.75,5.0,5.0,4.75,4.5,5.0,4.75,f,0.0,1.0
3531,f,Mitte,52.54765,13.35017,Entire home/apt,4,2,4,63.0,92,180,0,8,38,13,4.58,4.5,4.25,4.33,4.42,4.58,4.83,f,0.0,1.0
3532,f,Mitte,52.54847,13.34987,Entire home/apt,4,1,3,50.0,92,180,0,1,31,15,4.53,4.8,4.47,4.67,4.73,4.87,4.47,f,0.0,1.0
3533,f,Lichtenberg,52.50397,13.50786,Entire home/apt,4,1,2,45.0,5,1125,0,0,0,1,5.0,5.0,4.0,5.0,5.0,4.0,5.0,f,0.0,1.0
3534,f,Mitte,52.52844,13.39323,Entire home/apt,4,1,2,111.0,1,150,7,25,42,368,4.36,4.63,4.2,4.68,4.41,4.89,4.32,t,0.0,1.0
3535,f,Mitte,52.53226,13.40628,Entire home/apt,3,1,1,50.0,2,1125,0,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3536,f,Charlottenburg-Wilm.,52.49557,13.28482,Entire home/apt,3,1,2,55.0,93,364,0,0,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3537,f,Mitte,52.50988,13.40719,Entire home/apt,1,1,2,33.0,180,1125,0,1,1,4,5.0,4.75,5.0,5.0,5.0,4.75,4.0,f,0.0,1.0
3538,f,Neukölln,52.47796,13.4389,Private room,2,1,1,30.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3539,f,Pankow,52.56123,13.4162,Private room,1,1,1,29.0,1,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,1.5,0.0
3540,f,Marzahn - Hellersdorf,52.48014,13.56488,Entire home/apt,4,2,2,89.0,3,1125,0,0,0,155,4.87,4.92,4.88,4.95,4.95,4.53,4.89,f,0.0,1.0
3542,f,Mitte,52.56302,13.39133,Private room,2,1,1,20.0,2,1125,0,0,0,2,4.5,5.0,4.0,5.0,5.0,5.0,5.0,t,1.0,0.0
3543,f,Neukölln,52.49335,13.4252,Entire home/apt,2,1,1,70.0,2,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3544,f,Friedrichshain-Kreuzberg,52.51603,13.44469,Private room,2,1,1,30.0,7,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3545,f,Mitte,52.53657,13.40158,Private room,2,1,1,160.0,2,15,3,12,12,34,5.0,4.94,4.88,4.91,4.97,4.94,4.84,f,0.0,1.5
3546,t,Lichtenberg,52.53701,13.47743,Private room,2,1,1,25.0,3,15,9,9,9,351,4.7,4.8,4.71,4.83,4.84,4.45,4.72,f,1.0,0.0
3547,f,Mitte,52.53267,13.35074,Private room,1,1,2,15.0,15,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t,0.0,1.0
3548,f,Neukölln,52.47928,13.42133,Entire home/apt,2,1,2,120.0,4,21,13,21,23,6,4.67,5.0,5.0,5.0,5.0,5.0,4.83,f,0.0,1.0
3549,f,Mitte,52.51507,13.38097,Entire home/apt,4,2,4,186.0,2,1125,5,27,39,70,4.67,4.7,4.77,4.63,4.74,4.91,4.54,t,0.0,1.0
3550,f,Lichtenberg,52.51664,13.4816,Private room,2,1,1,25.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3551,f,Pankow,52.54326,13.42379,Private room,1,1,1,46.0,1,1125,0,0,0,20,5.0,5.0,5.0,4.95,4.9,5.0,4.95,f,0.0,1.0
3552,f,Neukölln,52.47135,13.43121,Entire home/apt,2,1,1,50.0,2,1125,0,0,0,6,4.8,4.8,4.6,5.0,5.0,4.8,4.8,f,0.0,1.0
3553,f,Pankow,52.5354,13.43507,Entire home/apt,2,1,1,35.0,2,1125,0,0,0,4,4.75,5.0,5.0,5.0,5.0,4.75,5.0,f,0.0,1.0
3554,f,Charlottenburg-Wilm.,52.49778,13.33135,Entire home/apt,3,1,1,65.0,60,1125,0,0,21,35,4.54,4.71,4.31,4.86,4.74,4.91,4.29,f,0.0,1.0
3555,f,Neukölln,52.48527,13.43218,Entire home/apt,3,1,2,58.0,4,1125,0,0,0,10,4.8,4.9,5.0,5.0,5.0,4.6,4.8,f,0.0,1.0
3556,t,Mitte,52.53483,13.39383,Entire home/apt,3,1,1,139.0,2,1125,6,12,22,146,4.99,4.99,4.94,4.97,4.97,4.99,4.94,t,0.0,1.0
